POC   46 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 37.8200 dB    U 40.6770 dB    V 42.0730 dB] [ET  8.84 ] [L0 45 44 40 36 ] [L1 ]
POC   47 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 37.8200 dB    U 40.6770 dB    V 42.0730 dB] [ET  8.83 ] [L0 46 44 40 36 ] [L1 ]
POC   48 TId: 0 ( P-SLICE, nQP 38 QP 38 )        704 bits [Y 37.9716 dB    U 40.7058 dB    V 42.1153 dB] [ET  9.12 ] [L0 47 44 40 36 ] [L1 ]
POC   49 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 37.9716 dB    U 40.7058 dB    V 42.1153 dB] [ET  8.84 ] [L0 48 44 40 36 ] [L1 ]
POC   50 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 37.9716 dB    U 40.7058 dB    V 42.1153 dB] [ET  8.79 ] [L0 49 48 44 40 ] [L1 ]
POC   51 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 37.9716 dB    U 40.7058 dB    V 42.1153 dB] [ET  8.81 ] [L0 50 48 44 40 ] [L1 ]
POC   52 TId: 0 ( P-SLICE, nQP 38 QP 38 )        224 bits [Y 38.0301 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.93 ] [L0 51 48 44 40 ] [L1 ]
POC   53 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.0301 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.78 ] [L0 52 48 44 40 ] [L1 ]
POC   54 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 38.0301 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.78 ] [L0 53 52 48 44 ] [L1 ]
POC   55 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.0301 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.72 ] [L0 54 52 48 44 ] [L1 ]
POC   56 TId: 0 ( P-SLICE, nQP 38 QP 38 )        216 bits [Y 38.0582 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.89 ] [L0 55 52 48 44 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.0582 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.72 ] [L0 56 52 48 44 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 38.0582 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.76 ] [L0 57 56 52 48 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.0582 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.73 ] [L0 58 56 52 48 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 38 QP 38 )        216 bits [Y 38.0831 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.87 ] [L0 59 56 52 48 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.0831 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.75 ] [L0 60 56 52 48 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 38.0831 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.73 ] [L0 61 60 56 52 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.0831 dB    U 40.7058 dB    V 42.1187 dB] [ET  8.72 ] [L0 62 60 56 52 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 38 QP 38 )       4760 bits [Y 39.0981 dB    U 41.2790 dB    V 42.5844 dB] [ET 10.37 ] [L0 63 60 56 52 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 40 QP 40 )       8528 bits [Y 36.6803 dB    U 40.6909 dB    V 42.4550 dB] [ET 12.00 ] [L0 64 60 56 52 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 39 QP 39 )      10528 bits [Y 36.1535 dB    U 40.4731 dB    V 42.1820 dB] [ET 12.65 ] [L0 65 64 60 56 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 40 QP 40 )       8368 bits [Y 35.4264 dB    U 40.1894 dB    V 41.9937 dB] [ET 12.46 ] [L0 66 64 60 56 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 38 QP 38 )      29592 bits [Y 38.2100 dB    U 41.3592 dB    V 43.0203 dB] [ET 13.69 ] [L0 67 64 60 56 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 40 QP 40 )       8016 bits [Y 35.9474 dB    U 40.9155 dB    V 42.8610 dB] [ET 12.43 ] [L0 68 64 60 56 ] [L1 ]
POC   70 TId: 0 ( P-SLICE, nQP 39 QP 39 )       9312 bits [Y 35.9985 dB    U 41.1440 dB    V 43.1818 dB] [ET 12.25 ] [L0 69 68 64 60 ] [L1 ]
POC   71 TId: 0 ( P-SLICE, nQP 40 QP 40 )       7568 bits [Y 35.4669 dB    U 41.0649 dB    V 43.1509 dB] [ET 12.44 ] [L0 70 68 64 60 ] [L1 ]
POC   72 TId: 0 ( P-SLICE, nQP 38 QP 38 )      24752 bits [Y 38.1623 dB    U 41.7753 dB    V 43.8544 dB] [ET 13.50 ] [L0 71 68 64 60 ] [L1 ]
