POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
102;1;7.552;5.20487;5.38155;94.6229;4.33383;;;1.97159;87.5127;-0.0662516
103;1;7.552;5.07536;5.37839;95.763;4.33383;;;2.08038;88.5529;0.0543963
104;1;7.552;6.62147;5.39107;95.6975;4.33383;;;0.781643;88.9437;-0.649368
105;1;7.552;5.13422;5.38848;97.749;4.33383;;;2.03093;89.9592;0.624644
106;1;7.552;5.28527;5.38745;98.0371;4.33383;;;1.90405;90.9112;-0.0634389
107;1;7.552;5.31883;5.38677;99.0297;4.33383;;;1.87586;91.8491;-0.0140952
108;1;7.552;6.62063;5.39886;99.0965;4.33383;;;0.782352;92.2403;-0.546756
109;1;7.552;5.14238;5.39637;101.04;4.33383;;;2.02408;93.2523;0.620866
110;1;7.552;5.25644;5.39503;101.353;4.33383;;;1.92827;94.2165;-0.0479048
111;1;7.552;5.19105;5.39309;102.41;4.33383;;;1.9832;95.2081;0.0274613
112;1;7.552;6.46978;5.40324;102.504;4.33383;;;0.909069;95.6626;-0.537064
113;1;7.552;4.96251;5.39912;104.521;4.33383;;;2.17517;96.7502;0.633051
114;1;7.552;4.99746;5.39541;104.952;4.33383;;;2.14581;97.8231;-0.0146803
115;1;7.552;4.97678;5.39157;106.053;4.33383;;;2.16318;98.9047;0.00868476
116;1;7.552;6.3154;5.39996;106.216;4.33383;;;1.03875;99.4241;-0.562217
117;1;7.552;4.82482;5.39478;108.311;4.33383;;;2.29083;100.569;0.626041
118;1;7.552;4.87285;5.39012;108.798;4.33383;;;2.25048;101.695;-0.020173
119;1;7.552;4.97754;5.38647;109.872;4.33383;;;2.16254;102.776;-0.0439702
120;1;7.552;6.40653;5.39542;110.026;4.33383;;;0.962197;103.257;-0.600173
121;1;7.552;5.02413;5.39219;112.047;4.33383;;;2.12341;104.319;0.580605
122;1;7.552;5.27037;5.39114;112.361;4.33383;;;1.91657;105.277;-0.103419
123;1;7.552;5.15517;5.38912;113.501;4.33383;;;2.01334;106.284;0.0483853
124;1;7.552;6.79254;5.40102;113.346;4.33383;;;0.63795;106.603;-0.687695
125;1;7.552;4.94628;5.3972;115.608;4.33383;;;2.1888;107.697;0.775427
126;1;7.552;5.0868;5.39461;115.831;4.33383;;;2.07076;108.733;-0.0590192
127
