POC	Control ON/OFF	SP	PV	PVavg	PID	EST			e	Se	de		no PID		SP	no PID	with PID
85	1	3.951	0.530275	3.96864	4.40812	4.2131			2.87341	-2.34094	3.34538		6.75549	79	3.951	6.75549	3.96864
86	1	3.951	6.38831	3.99888	-4.55503	0.842619			-2.04734	-6.43563	-2.46038		6.20552	80	3.951	6.748615375	3.99888
87	1	3.951	0.552598	3.95634	5.13194	4.2131			2.85466	-0.726313	2.451		6.30928	81	3.951	6.30928	3.95634
88	1	3.951	8.88853	4.01649	-7.78145	0.842619			-4.14753	-9.02136	-3.50109		8.52392	82	3.951	6.3362878049	4.01649
89	1	3.951	0.560744	3.97485	3.5805	3.58345			2.84782	-3.32573	3.49767		6.3416	83	3.951	6.3416	3.97485
90	1	3.951	4.89429	3.9858	-2.62862	0.842619			-0.792362	-4.91046	-1.82009		6.33662	84	3.951	6.3415407143	3.9858
91	1	3.951	0.541708	3.94528	6.05075	4.2131			2.86381	0.817154	1.82808		6.40515	85	3.951	6.40515	3.94528
92	1	3.951	8.53396	3.99863	-5.55469	0.842619			-3.84969	-6.88222	-3.35675		9.34031	86	3.951	6.4392797674	3.99863
93	1	3.951	0.512164	3.95856	5.66497	4.2131			2.88862	-1.10497	3.36915		7.11495	87	3.951	7.11495	3.95856
94	1	3.951	6.35745	3.98582	-3.26679	0.842619			-2.02142	-5.14781	-2.45502		6.41922	88	3.951	7.1070439773	3.98582
95	1	3.951	0.558659	3.94731	6.39504	4.2131			2.84957	0.551326	2.43549		6.21416	89	3.951	6.21416	3.94731
96	1	3.951	8.46811	3.99754	-5.68565	0.842619			-3.79437	-7.03742	-3.32197		8.63782	90	3.951	6.2410895556	3.99754
97	1	3.951	0.504122	3.95915	5.49771	4.2131			2.89538	-1.24667	3.34488		6.21805	91	3.951	6.21805	3.95915
98	1	3.951	5.94005	3.98069	-2.60211	0.842619			-1.6708	-4.58826	-2.28309		6.31798	92	3.951	6.2191361957	3.98069
99	1	3.951	0.495284	3.94321	6.90222	4.2131			2.9028	1.21734	2.2868		6.39496	93	3.951	6.39496	3.94321
100	1	3.951	8.11149	3.98755	-4.35442	0.842619			-3.49481	-5.77229	-3.19881		9.25345	94	3.951	6.4253694681	3.98755
101	1	3.951	0.485411	3.95069	6.64936	4.2131			2.91109	0.0498977	3.20295		5.99643	95	3.951	5.99643	3.95069
102	1	3.951	6.47918	3.97703	-2.35933	0.842619			-2.12367	-4.19745	-2.51738		6.00664	96	3.951	5.9965363542	3.97703
103	1	3.951	0.510372	3.94129	7.4902	4.2131			2.89013	1.5828	2.5069		5.83552	97	3.951	5.83552	3.94129
