0.1/0.0/0.0.csv;0.2/0.0/0.0.csv;0.3/0.0/0.0.csv;0.4/0.0/0.0.csv;0.5/0.0/0.0.csv;0.6/0.0/0.0.csv;0.7/0.0/0.0.csv;0.8/0.0/0.0.csv;0.9/0.0/0.0.csv;1.0/0.0/0.0.csv;1.1/0.0/0.0.csv;1.2/0.0/0.0.csv;1.3/0.0/0.0.csv;1.4/0.0/0.0.csv;1.5/0.0/0.0.csv;1.6/0.0/0.0.csv;1.7/0.0/0.0.csv;1.8/0.0/0.0.csv;1.9/0.0/0.0.csv;2.0/0.0/0.0.csv
8.51974;8.57309;8.56146;8.52906;8.58946;8.55111;8.17607;7.3356;6.75202;6.16522;6.15505;6.29257;6.27792;6.32341;6.24818;6.04805;5.66937;5.18244;0.823882;0.835976
8.99342;8.93864;8.94927;8.88708;8.87896;8.44444;7.77672;7.0285;6.66016;6.45224;6.40386;6.37076;6.29401;6.62757;6.85577;6.48161;6.74395;7.41821;8.95223;9.01264
8.65873;8.62057;8.55326;8.61395;8.63819;7.94918;7.22442;6.62108;6.37705;6.1751;6.12784;6.09352;6.14464;6.24689;6.44549;6.16744;6.37032;6.37118;4.43065;3.86807
11.8344;11.8767;11.8006;11.83;11.8706;10.7343;9.77855;9.20018;8.93034;8.88621;8.83544;8.76832;8.69004;8.68039;8.71754;8.56121;8.63401;8.66666;11.7414;11.8071
8.61445;8.56415;8.63012;8.59635;8.61066;8.62215;8.28447;7.37957;6.74358;6.25007;6.11777;6.22713;6.34819;6.3544;6.40771;6.12089;5.66559;5.24755;0.820162;0.817953
8.9732;8.93921;8.95187;8.77778;8.9151;8.39118;7.71753;7.02595;6.59681;6.41594;6.43919;6.34623;6.32919;6.33509;6.32412;6.27461;6.74906;7.40447;8.98112;9.07395
8.59308;8.61861;8.62828;8.60103;8.61424;8.03019;7.36406;6.67953;6.36655;6.21942;6.19046;6.06953;6.10962;6.11884;6.10574;6.05957;6.33979;6.26342;4.41912;3.68548
11.8799;11.8486;11.9262;11.8535;11.8258;10.7856;9.90805;9.24224;9.02514;8.92138;8.8209;8.78254;8.78714;8.74796;8.76255;8.71338;8.8035;8.81666;11.8099;11.9338
8.67756;8.71413;8.70875;8.62319;8.7448;8.61968;8.52578;7.50964;6.956;6.34958;6.29453;6.32758;6.38479;6.47873;6.22508;5.77001;5.5712;5.04519;0.867273;0.869729
9.1213;9.18277;9.08073;9.07814;9.20219;8.66;8.20171;7.19806;6.82246;6.57891;6.55692;6.55038;6.49882;6.55378;6.64098;6.77064;7.06408;7.84927;9.21535;9.24869
-3.372787;-3.40052316667;-3.40588666667;-3.37031416667;-3.28482233333;-2.76376233333;-2.071773;-1.48471733333;-1.15170516667;-0.948873833333;-0.9051085;-0.884689833333;-0.892389333333;-0.929499333333;-0.933983;-0.847767333333;-0.861114666667;-0.941475;-0.5936803;-0.497422133333
13.2868425424;13.4859498063;13.5552216314;13.284862007;12.6177406303;8.85479564899;5.2575498764;3.18257528507;2.38648513172;2.10050118929;2.02469473396;1.96343622795;1.94635827032;1.99103425273;1.9682502867;1.91861318631;1.95100463997;2.4327137642;15.0561291633;17.0615410775
