POC   74 TId: 0 ( P-SLICE, nQP 29 QP 29 )       8432 bits [Y 39.9873 dB    U 44.1935 dB    V 45.4754 dB] [ET  8.93 ] [L0 73 72 68 ] [L1 ]
POC   75 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4080 bits [Y 40.0216 dB    U 44.2238 dB    V 45.4717 dB] [ET  8.58 ] [L0 74 72 68 ] [L1 ]
POC   76 TId: 0 ( P-SLICE, nQP 28 QP 28 )      25992 bits [Y 40.5661 dB    U 44.3905 dB    V 45.6279 dB] [ET 10.54 ] [L0 75 72 68 ] [L1 ]
POC   77 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3096 bits [Y 40.2032 dB    U 44.2832 dB    V 45.5491 dB] [ET  8.56 ] [L0 76 72 68 ] [L1 ]
POC   78 TId: 0 ( P-SLICE, nQP 29 QP 29 )       9064 bits [Y 39.9029 dB    U 44.1949 dB    V 45.4482 dB] [ET  8.96 ] [L0 77 76 72 ] [L1 ]
POC   79 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4592 bits [Y 39.9727 dB    U 44.1928 dB    V 45.4150 dB] [ET  8.68 ] [L0 78 76 72 ] [L1 ]
POC   80 TId: 0 ( P-SLICE, nQP 28 QP 28 )      27112 bits [Y 40.5894 dB    U 44.3786 dB    V 45.6144 dB] [ET 10.61 ] [L0 79 76 72 ] [L1 ]
POC   81 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3336 bits [Y 40.1556 dB    U 44.2875 dB    V 45.5782 dB] [ET  8.60 ] [L0 80 76 72 ] [L1 ]
POC   82 TId: 0 ( P-SLICE, nQP 29 QP 29 )       8944 bits [Y 39.8350 dB    U 44.2293 dB    V 45.5004 dB] [ET  9.07 ] [L0 81 80 76 ] [L1 ]
POC   83 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5032 bits [Y 39.8351 dB    U 44.2201 dB    V 45.4658 dB] [ET  8.76 ] [L0 82 80 76 ] [L1 ]
POC   84 TId: 0 ( P-SLICE, nQP 28 QP 28 )      32312 bits [Y 40.6014 dB    U 44.3941 dB    V 45.6415 dB] [ET 10.85 ] [L0 83 80 76 ] [L1 ]
